               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,             0.03745,            0.019255,           0.0007682,             0.85953,                0.76,             0.78687,             0.41051,            0.026458,           0.0061356,            0.000754,           0.0086388,           0.0086388,           0.0086388
                  57,            0.027616,            0.015172,          0.00086211,              0.8914,             0.82083,             0.83045,             0.46795,            0.023749,           0.0060417,          0.00076685,            0.008614,            0.008614,            0.008614
                  58,            0.027931,            0.015247,          0.00073464,             0.94949,                 0.8,             0.84048,             0.46058,            0.023821,            0.005964,          0.00074165,           0.0085893,           0.0085893,           0.0085893
                  59,            0.029945,            0.016899,          0.00080404,             0.90494,                0.74,             0.80793,             0.45277,            0.024441,           0.0061318,          0.00074718,           0.0085645,           0.0085645,           0.0085645
                  60,            0.035892,            0.017111,          0.00092172,             0.85708,                 0.7,             0.79811,             0.33011,            0.024138,           0.0065514,          0.00078774,           0.0085398,           0.0085398,           0.0085398
                  61,              0.0324,            0.016484,          0.00075268,             0.84217,             0.74712,              0.7999,             0.40575,            0.027682,           0.0059653,          0.00084305,            0.008515,            0.008515,            0.008515
                  62,            0.026274,            0.016481,          0.00076133,             0.84496,                0.74,             0.75764,             0.35469,            0.028974,           0.0059788,           0.0009614,           0.0084903,           0.0084903,           0.0084903
                  63,            0.028859,            0.015243,          0.00076507,             0.94066,                0.76,             0.80092,             0.41269,            0.028424,           0.0065578,          0.00064287,           0.0084655,           0.0084655,           0.0084655
                  64,            0.031294,            0.018433,           0.0008691,             0.90223,             0.73828,             0.75786,             0.39829,            0.028803,           0.0066718,          0.00071805,           0.0084408,           0.0084408,           0.0084408
                  65,            0.030083,            0.015584,          0.00082539,              0.8669,                0.76,             0.80516,             0.37824,            0.027009,           0.0058771,          0.00095334,            0.008416,            0.008416,            0.008416
                  66,            0.037906,            0.022782,          0.00099127,              0.8614,             0.74591,             0.82583,             0.39619,            0.025773,           0.0057374,          0.00096157,           0.0083913,           0.0083913,           0.0083913
                  67,             0.02791,            0.016141,          0.00074026,             0.79929,                0.76,             0.81931,             0.43255,            0.023743,           0.0058922,           0.0010349,           0.0083665,           0.0083665,           0.0083665
                  68,            0.024485,             0.01553,          0.00065505,             0.83358,                0.84,             0.82766,              0.4001,            0.024944,           0.0054999,           0.0010095,           0.0083418,           0.0083418,           0.0083418
                  69,            0.027501,            0.015203,          0.00062554,             0.84784,                 0.8,             0.81585,             0.47008,             0.02372,           0.0062366,           0.0011022,            0.008317,            0.008317,            0.008317
                  70,            0.025188,            0.015039,          0.00075881,             0.87046,             0.80648,             0.83931,             0.44691,            0.023151,            0.005929,           0.0011955,           0.0082922,           0.0082922,           0.0082922
                  71,            0.022123,            0.014262,          0.00072937,             0.92714,             0.76353,             0.86009,              0.4902,            0.024023,           0.0061775,          0.00091858,           0.0082675,           0.0082675,           0.0082675
                  72,             0.02206,            0.016038,          0.00070085,             0.86985,             0.66847,              0.7764,             0.42459,            0.027834,           0.0063965,          0.00090599,           0.0082428,           0.0082428,           0.0082428
                  73,            0.025903,            0.013677,          0.00068699,             0.92721,             0.76435,             0.84409,             0.45001,            0.024691,           0.0062886,          0.00080645,            0.008218,            0.008218,            0.008218
                  74,            0.025282,            0.016309,          0.00066576,             0.93147,                0.78,             0.80097,             0.42211,            0.025591,           0.0059092,          0.00089645,           0.0081932,           0.0081932,           0.0081932
                  75,            0.028082,            0.013774,          0.00070947,             0.78796,                0.76,             0.75033,             0.37513,            0.022196,           0.0064758,          0.00075278,           0.0081685,           0.0081685,           0.0081685
                  76,            0.030152,            0.015738,          0.00071516,             0.76159,                0.74,             0.73838,             0.40746,             0.02253,           0.0063304,          0.00077751,           0.0081437,           0.0081437,           0.0081437
                  77,            0.027092,            0.015701,          0.00092014,             0.78329,                0.82,             0.75042,             0.39183,             0.02331,           0.0062907,          0.00068681,            0.008119,            0.008119,            0.008119
                  78,             0.02267,            0.013101,          0.00054846,             0.79511,                0.74,             0.78321,             0.42188,            0.026708,           0.0060184,          0.00071042,           0.0080942,           0.0080942,           0.0080942
                  79,            0.033457,            0.015893,          0.00072327,              0.8712,             0.81175,             0.83971,             0.46426,            0.023191,           0.0060505,          0.00084934,           0.0080695,           0.0080695,           0.0080695
                  80,            0.021374,            0.014371,          0.00067549,             0.93067,             0.80556,              0.8768,             0.49512,            0.022154,           0.0059322,          0.00073872,           0.0080447,           0.0080447,           0.0080447
                  81,            0.025603,            0.017212,           0.0006113,             0.85331,             0.81449,             0.83594,             0.47232,            0.021282,           0.0061612,           0.0007329,             0.00802,             0.00802,             0.00802
                  82,            0.031455,            0.016055,           0.0007327,             0.91219,             0.83113,             0.87888,              0.4752,            0.021431,           0.0063784,            0.000703,           0.0079953,           0.0079953,           0.0079953
                  83,            0.022084,            0.015255,          0.00060967,             0.93057,             0.80424,             0.87573,             0.50529,            0.022349,           0.0061262,           0.0010794,           0.0079705,           0.0079705,           0.0079705
                  84,            0.024552,             0.01252,           0.0005834,              0.9743,             0.75836,             0.85943,             0.48062,            0.022644,           0.0063176,           0.0010476,           0.0079457,           0.0079457,           0.0079457
                  85,            0.028209,            0.016459,          0.00068941,             0.86659,                0.74,             0.83224,             0.38344,            0.023079,           0.0065039,           0.0010972,            0.007921,            0.007921,            0.007921
                  86,            0.025652,            0.014072,          0.00060787,             0.89475,                0.74,              0.8389,             0.46934,            0.022608,           0.0064366,           0.0010973,           0.0078963,           0.0078963,           0.0078963
                  87,            0.031419,            0.014483,          0.00075432,             0.88603,                 0.8,             0.84741,              0.4973,            0.020295,           0.0065888,           0.0010401,           0.0078715,           0.0078715,           0.0078715
                  88,            0.020787,            0.013239,          0.00058702,             0.86294,                0.78,               0.846,             0.39921,            0.023085,           0.0065078,           0.0010141,           0.0078467,           0.0078467,           0.0078467
                  89,              0.0313,            0.012656,          0.00062756,             0.82439,                0.82,              0.8408,             0.46062,            0.021374,           0.0066668,          0.00098219,            0.007822,            0.007822,            0.007822
                  90,            0.020699,            0.014275,          0.00053171,             0.87464,             0.83731,             0.85229,             0.49165,            0.023058,           0.0062985,          0.00099087,           0.0077973,           0.0077973,           0.0077973
                  91,            0.022794,            0.014369,          0.00052014,             0.95297,                0.82,             0.86874,             0.50121,            0.020975,           0.0059869,          0.00095897,           0.0077725,           0.0077725,           0.0077725
                  92,            0.023576,            0.014918,          0.00056405,             0.90064,                0.78,             0.82832,             0.44951,            0.022638,           0.0058631,          0.00090208,           0.0077478,           0.0077478,           0.0077478
                  93,            0.020366,            0.011596,          0.00050278,             0.96838,                0.86,              0.8721,             0.42616,            0.024195,           0.0059888,          0.00055733,            0.007723,            0.007723,            0.007723
                  94,            0.024884,            0.016407,          0.00069487,             0.94982,                0.86,             0.87339,             0.51252,            0.021567,           0.0061194,          0.00053015,           0.0076983,           0.0076983,           0.0076983
                  95,            0.021186,            0.012115,           0.0006265,              0.9493,                0.84,             0.84364,             0.50473,            0.021714,           0.0062729,          0.00052342,           0.0076735,           0.0076735,           0.0076735
                  96,            0.027078,            0.014496,          0.00065071,             0.95452,             0.83957,             0.84792,             0.53658,             0.02119,           0.0059761,          0.00049644,           0.0076488,           0.0076488,           0.0076488
                  97,            0.021902,            0.013021,          0.00057343,             0.95439,              0.8371,             0.84176,             0.50133,            0.022729,           0.0059612,          0.00049713,            0.007624,            0.007624,            0.007624
                  98,            0.030636,            0.012922,          0.00064192,             0.94905,                0.84,             0.83146,              0.4844,            0.023115,           0.0059363,          0.00052388,           0.0075993,           0.0075993,           0.0075993
                  99,            0.022676,            0.012766,          0.00050046,             0.91241,             0.83343,             0.84114,             0.50982,            0.023052,           0.0057419,          0.00056262,           0.0075745,           0.0075745,           0.0075745
                 100,            0.023896,            0.013347,          0.00046772,             0.93332,             0.83978,             0.83389,             0.41019,            0.027013,           0.0056463,          0.00057378,           0.0075498,           0.0075498,           0.0075498
                 101,            0.033175,            0.013502,          0.00067422,              0.9075,                0.84,             0.84268,             0.49536,            0.024113,           0.0055434,          0.00055428,            0.007525,            0.007525,            0.007525
                 102,             0.03248,            0.012989,          0.00057017,              0.9164,             0.87694,             0.87485,             0.52632,            0.020842,           0.0052782,          0.00050459,           0.0075003,           0.0075003,           0.0075003
                 103,            0.029433,            0.015589,          0.00057796,             0.91299,                0.88,               0.871,             0.49463,            0.022748,            0.005464,          0.00048423,           0.0074755,           0.0074755,           0.0074755
                 104,             0.01923,            0.013477,          0.00046295,             0.86953,                0.86,             0.84771,             0.47339,            0.021706,            0.005821,          0.00048971,           0.0074507,           0.0074507,           0.0074507
                 105,             0.03049,            0.016471,          0.00049763,             0.89748,                0.82,             0.86241,             0.42178,            0.025109,           0.0065002,          0.00050602,            0.007426,            0.007426,            0.007426
                 106,            0.026297,            0.012558,          0.00065389,             0.86825,              0.7909,             0.77509,             0.40329,            0.029832,           0.0070051,          0.00052662,           0.0074013,           0.0074013,           0.0074013
                 107,            0.026584,              0.0121,          0.00055561,             0.87802,             0.71984,              0.7611,             0.41783,            0.025904,           0.0068519,          0.00055718,           0.0073765,           0.0073765,           0.0073765
                 108,            0.025457,            0.011953,          0.00057383,             0.83381,              0.8028,             0.81183,             0.45421,             0.02604,           0.0063922,          0.00055947,           0.0073517,           0.0073517,           0.0073517
                 109,            0.029648,            0.013859,          0.00067581,             0.95253,                0.84,             0.87448,              0.4685,            0.025582,           0.0059264,          0.00056257,            0.007327,            0.007327,            0.007327
                 110,             0.03133,            0.012957,           0.0006145,             0.91835,                0.82,             0.84125,             0.49717,            0.026057,           0.0059846,          0.00063491,           0.0073023,           0.0073023,           0.0073023
                 111,            0.030203,            0.015359,          0.00065584,             0.94831,                0.86,             0.89834,             0.52535,             0.02184,           0.0056486,          0.00060172,           0.0072775,           0.0072775,           0.0072775
                 112,            0.022447,            0.014902,          0.00057967,             0.91473,             0.85824,             0.87281,             0.51758,             0.02223,           0.0055619,          0.00056214,           0.0072527,           0.0072527,           0.0072527
                 113,            0.021027,            0.010707,          0.00050808,             0.95354,                0.88,             0.89325,             0.48508,            0.024543,            0.005369,          0.00056648,            0.007228,            0.007228,            0.007228
                 114,            0.022629,            0.013346,          0.00059957,             0.89854,                 0.8,             0.86969,             0.52684,            0.024464,           0.0055669,          0.00062428,           0.0072033,           0.0072033,           0.0072033
                 115,            0.028804,            0.013652,          0.00059723,             0.86366,                0.76,              0.8235,             0.45648,            0.030049,            0.006293,          0.00057979,           0.0071785,           0.0071785,           0.0071785
                 116,            0.019513,            0.012067,          0.00056439,              0.9045,                0.74,             0.75796,             0.40529,            0.037207,           0.0063706,          0.00057359,           0.0071538,           0.0071538,           0.0071538
                 117,            0.031082,            0.014899,          0.00076045,             0.84064,                0.66,               0.711,             0.39964,            0.036288,            0.006521,          0.00059972,            0.007129,            0.007129,            0.007129
                 118,            0.026453,            0.018369,          0.00059943,             0.89756,                0.74,             0.76413,             0.41336,            0.023639,           0.0067718,          0.00061522,           0.0071042,           0.0071042,           0.0071042
                 119,            0.025293,            0.014574,          0.00059668,             0.91103,                0.76,             0.75085,             0.42748,            0.023547,           0.0068404,          0.00058928,           0.0070795,           0.0070795,           0.0070795
                 120,            0.026153,            0.014514,          0.00060368,             0.90419,                 0.8,             0.79702,             0.45984,            0.023124,           0.0068307,          0.00056672,           0.0070547,           0.0070547,           0.0070547
